hurst,signal,entry,exit,qty,pnl
0.5631082321712568,SHORT,2931.439453125,3050.142822265625,29,-3442.397705078125
0.692650001255778,SHORT,2952.56396484375,3047.332763671875,28,-2653.5263671875
0.6664843975302434,SHORT,3034.735595703125,3052.953125,27,-491.873291015625
0.6904503313475242,SHORT,3009.4443359375,3043.84423828125,26,-894.3974609375
0.5961891039148689,SHORT,3047.332763671875,3036.2861328125,25,276.165771484375
0.6498815414306041,SHORT,3052.953125,3038.514892578125,25,360.955810546875
0.6085389584449419,SHORT,3043.84423828125,3081.441650390625,26,-977.53271484375
0.6332979542848056,SHORT,3022.526123046875,3129.11669921875,26,-2771.35498046875
0.5892558460691827,SHORT,3064.87158203125,3137.837890625,25,-1824.15771484375
0.573727617479413,SHORT,3039.386962890625,3136.190673828125,24,-2323.2890625
0.5620144908232019,SHORT,3040.259033203125,3108.864501953125,23,-1577.92578125
0.6174070525848304,SHORT,3038.514892578125,3092.972900390625,23,-1252.5341796875
0.6390994027667223,SHORT,3081.441650390625,3120.6865234375,22,-863.38720703125
0.6114325239303338,SHORT,3129.11669921875,3130.085693359375,22,-21.31787109375
0.639608828053772,SHORT,3137.837890625,3105.763916015625,22,705.62744140625
0.587094047289769,SHORT,3136.190673828125,3118.0703125,23,416.768310546875
0.6142900150082492,SHORT,3108.864501953125,3179.11767578125,23,-1615.822998046875
0.5825463050471751,SHORT,3090.356689453125,3180.280517578125,23,-2068.248046875
0.5607185680000233,SHORT,3092.972900390625,3221.8505859375,22,-2835.30908203125
0.6015802160761834,LONG,3120.6865234375,3207.41259765625,21,1821.24755859375
0.6955244954445655,SHORT,3130.085693359375,3216.1337890625,22,-1893.05810546875
0.6926682468984598,SHORT,3105.763916015625,3178.342529296875,21,-1524.15087890625
0.6851629475398775,LONG,3118.0703125,3150.7255859375,21,685.7607421875
0.6607242703325937,SHORT,3178.342529296875,3154.892578125,20,468.9990234375
0.6310909118453774,SHORT,3150.7255859375,3193.458984375,21,-897.4013671875
0.6243019899312322,LONG,3146.171630859375,3104.60107421875,21,-872.981689453125
0.5973771010071709,SHORT,3154.892578125,3093.55419921875,20,1226.767578125
0.6187968331935898,LONG,3193.458984375,3163.8017578125,20,-593.14453125
0.5782744618076767,SHORT,3104.60107421875,3121.278564453125,21,-350.227294921875
0.6321876352178173,SHORT,3108.38037109375,3060.798583984375,20,951.6357421875
0.5526317004226019,SHORT,3139.194580078125,3080.826904296875,20,1167.353515625
0.5569185265129348,LONG,3121.278564453125,3102.335205078125,21,-397.810546875
0.6207965201176048,SHORT,3082.109375,2944.673095703125,21,2886.161865234375
0.613609411584542,SHORT,3127.1982421875,2870.873779296875,21,5382.813720703125
0.6587828552745278,LONG,3182.153076171875,2713.31005859375,22,-10314.54638671875
0.6043336400203351,SHORT,2870.873779296875,2650.264892578125,18,3970.9599609375
0.6362252560984714,SHORT,2713.31005859375,2640.497314453125,20,1456.2548828125
0.6320958220900385,SHORT,2656.1845703125,2539.269775390625,20,2338.2958984375
0.43935438916234365,LONG,2681.04736328125,2612.27978515625,20,-1375.3515625
0.6240082163256497,SHORT,2650.264892578125,2553.181396484375,20,1941.669921875
0.6059222658393828,SHORT,2640.497314453125,2544.3017578125,21,2020.106689453125
0.5730612911333152,SHORT,2539.269775390625,2523.385498046875,22,349.4541015625
0.6244702355571943,SHORT,2594.126220703125,2493.589111328125,21,2111.279296875
0.5591218544097288,SHORT,2408.14794921875,2327.34326171875,25,2020.1171875
0.5768878762417429,SHORT,2358.619384765625,2417.915283203125,25,-1482.3974609375
0.427524318622261,LONG,2351.910400390625,2440.804931640625,24,2133.46875
0.42843701609561174,LONG,2366.709716796875,2505.823486328125,25,3477.84423828125
0.43134104699837805,LONG,2345.595947265625,2524.9638671875,26,4663.56591796875
0.5956862175127406,SHORT,2490.53076171875,2504.540771484375,25,-350.250244140625
0.6931508763362921,SHORT,2439.5224609375,2488.064208984375,25,-1213.543701171875
0.6760053210509442,SHORT,2520.72119140625,2364.8349609375,24,3741.26953125
0.6729355986672251,SHORT,2542.427001953125,2414.85693359375,24,3061.681640625
0.7018720199654819,SHORT,2546.965576171875,2411.99560546875,25,3374.249267578125
0.6336139360170648,SHORT,2545.091064453125,2441.59423828125,26,2690.91748046875
0.6127290707877749,SHORT,2575.57763671875,2440.804931640625,26,3504.09033203125
0.6007356703835244,SHORT,2504.540771484375,2440.804931640625,28,1784.603515625
0.5971660581276432,SHORT,2488.064208984375,2398.77490234375,28,2500.1005859375
0.6310539510869089,SHORT,2364.8349609375,2394.828369140625,30,-899.80224609375
0.6466928812039936,SHORT,2414.85693359375,2402.81982421875,28,337.0390625
0.6278963139574948,SHORT,2411.99560546875,2369.274658203125,28,1196.1865234375
0.6185155260802734,SHORT,2441.59423828125,2362.368408203125,28,2218.3232421875
0.6172675707327472,SHORT,2440.804931640625,2360.888427734375,28,2237.662109375
0.5651150646041789,SHORT,2296.2646484375,2258.89990234375,30,1120.9423828125
0.5583003879749352,SHORT,2296.0673828125,2297.39990234375,31,-41.30810546875
0.5608824881023211,SHORT,2276.199951171875,2241.0,31,1091.198486328125
0.6651133011584641,SHORT,2284.199951171875,2198.89990234375,31,2644.301513671875
0.6697447978811983,SHORT,2284.199951171875,2151.39990234375,32,4249.6015625
0.6795165964450517,SHORT,2258.89990234375,2151.0,33,3560.69677734375
0.6440454311400524,SHORT,2297.39990234375,2153.89990234375,34,4879.0
