Strategy,Return,Win Rate,Sharpe,Drawdown
hurst,31.095045227050782,70.58823529411765,0.35179750781745156,8.414513315924243
momentum,22.972400268554686,61.111111111111114,0.32391602484765547,5.864753122292964
mean_reversion,-21.218044860839843,28.57142857142857,-0.7533609739260521,21.242894112149713
buy_and_hold,-22.96900331450616,,,
